Time,Voltage,Current,Temper
09:33:10.356,4232.0,102.0,207.0
09:33:20.463,4254.0,8.0,211.0
09:33:30.578,4288.0,192.0,213.0
09:33:40.681,4292.0,117.0,215.0
09:33:50.788,4292.0,107.0,215.0
09:34:00.894,4320.0,253.0,216.0
09:34:10.999,4321.0,296.0,216.0
09:34:21.104,4324.0,244.0,217.0
09:34:31.302,4325.0,283.0,217.0
09:34:41.410,4299.0,272.0,218.0
09:34:51.530,4320.0,17.0,218.0
09:35:01.664,4289.0,3.0,218.0
09:35:11.789,4269.0,-61.0,218.0
09:35:21.894,4274.0,250.0,219.0
09:35:32.107,4321.0,117.0,219.0
09:35:42.219,4334.0,324.0,219.0
09:35:52.325,4346.0,366.0,219.0
09:36:02.433,4343.0,367.0,219.0
09:36:12.544,4314.0,183.0,220.0
09:36:22.651,4349.0,366.0,221.0
09:36:32.760,4351.0,370.0,221.0
09:36:42.869,4351.0,361.0,222.0
09:36:52.978,4352.0,334.0,222.0
09:37:03.087,4348.0,332.0,222.0
09:37:13.198,4349.0,324.0,222.0
09:37:23.305,4350.0,338.0,222.0
09:37:33.416,4350.0,360.0,222.0
09:37:43.524,4356.0,362.0,222.0
09:37:53.634,4355.0,333.0,222.0
09:38:03.742,4358.0,313.0,222.0
09:38:13.853,4352.0,338.0,223.0
09:38:23.960,4358.0,352.0,223.0
09:38:34.069,4353.0,326.0,223.0
09:38:44.178,4351.0,334.0,223.0
09:38:54.287,4359.0,358.0,223.0
09:39:04.398,4359.0,335.0,223.0
09:39:14.507,4352.0,324.0,223.0
09:39:24.616,4351.0,325.0,224.0
09:39:34.727,4359.0,343.0,224.0
09:39:44.834,4359.0,306.0,224.0
09:39:54.944,4356.0,327.0,224.0
09:40:05.053,4357.0,304.0,224.0
09:40:15.163,4353.0,322.0,225.0
09:40:25.268,4357.0,134.0,224.0
09:40:35.379,4356.0,325.0,225.0
09:40:45.488,4356.0,313.0,225.0
09:40:55.598,4358.0,334.0,225.0
09:41:05.708,4358.0,321.0,225.0
09:41:15.818,4330.0,168.0,225.0
09:41:25.928,4325.0,198.0,226.0
09:41:36.133,4328.0,132.0,227.0
09:41:46.243,4325.0,205.0,230.0
09:41:54.652,4329.0,-307.0,231.0
09:41:56.099,4329.0,258.0,232.0
09:42:06.208,4328.0,203.0,232.0
09:42:16.317,4310.0,92.0,233.0
09:42:26.518,4340.0,282.0,233.0
09:42:36.629,4358.0,358.0,233.0
09:42:46.735,4355.0,330.0,234.0
09:42:56.845,4358.0,341.0,234.0
09:43:06.953,4357.0,322.0,234.0
09:43:17.076,4344.0,295.0,234.0
09:44:08.079,4353.0,334.0,235.0
