method,Activity,Excl,Incl,Start,End,Energy
themeRetro,MainActivity,7.7e-05,0.002306,12:28:20.926,12:28:20.931,0.0026417536
loadNow,MainActivity,0.000998,0.015398,12:28:20.931,12:28:20.971,0.0176399488
getPath,PathUtil,0.00035,0.001071,12:28:20.971,12:28:20.973,0.0012269375999999998
onResume,MainActivity,0.000265,0.059798,12:28:20.973,12:28:21.128,0.06850458879999999
saveNow,MainActivity,0.000658,0.126896,12:28:21.128,12:28:21.457,0.1453720576
getPath,PathUtil,0.00035,0.001071,12:28:21.457,12:28:21.459,0.0012269375999999998
onPause,MainActivity,0.00023,0.00634,12:28:21.459,12:28:21.475,0.007263104
getPath,PathUtil,0.00035,0.001071,12:28:21.475,12:28:21.477,0.0012269375999999998
onResume,MainActivity,0.000265,0.059798,12:28:21.477,12:28:21.632,0.06850458879999999
